txn_id,store_id,txn_date,amount,quantity,discount_pct
P-00071,S-014,2026-08-07,"164,44",4,15
P-00072,S-014,2026-08-30,"112,09",4,10
P-00073,S-014,2026-08-25,"28,99",1,
P-00074,S-014,2026-08-26,"185,27",1,
P-00075,S-014,2026-08-16,"15,86",3,
P-00076,S-014,2026-08-16,"92,48",3,10
P-00077,S-014,2026-08-06,"198,57",3,
P-00078,S-014,2026-08-18,"113,13",2,
P-00079,S-014,2026-08-04,"122,09",3,15
P-00080,S-014,2026-08-03,"235,10",3,
P-00081,S-014,2026-08-27,"110,41",2,
P-00082,S-014,2026-08-12,"125,55",3,0
P-00083,S-014,2026-08-02,"28,51",1,
P-00084,S-014,2026-08-17,"7,17",4,15
P-00085,S-014,2026-08-26,"76,37",1,
P-00086,S-014,2026-08-13,"225,30",1,
P-00087,S-014,2026-08-20,"183,81",3,10
P-00088,S-014,2026-08-15,"178,33",3,10
P-00089,S-014,2026-08-20,"25,27",2,
P-00090,S-014,2026-08-07,"52,48",3,15
P-00091,S-014,2026-08-08,"178,00",1,10
P-00092,S-014,2026-08-03,"152,65",1,
P-00093,S-014,2026-08-03,"176,05",1,
P-00094,S-014,2026-08-30,"100,43",4,0
P-00095,S-014,2026-08-31,"228,47",3,0
P-00096,S-014,2026-08-11,"100,46",1,10
P-00097,S-014,2026-08-03,"237,58",3,
P-00098,S-014,2026-08-03,"185,05",4,10
P-00099,S-014,2026-08-28,"27,33",1,15
P-00100,S-014,2026-08-22,"151,54",1,
P-00101,S-014,2026-08-09,"132,50",4,5
P-00102,S-014,2026-08-29,"134,60",1,5
P-00103,S-014,2026-08-21,"132,43",4,
P-00104,S-014,2026-08-15,"168,01",4,15
P-00105,S-014,2026-08-07,"44,07",3,
P-00106,S-014,2026-08-03,"185,76",4,
P-00107,S-014,2026-08-28,"91,88",4,
P-00108,S-014,2026-08-16,"229,85",2,0
P-00109,S-014,2026-08-03,"40,24",3,
P-00110,S-014,2026-08-25,"197,43",4,
P-00111,S-014,2026-08-22,"217,34",1,15
P-00112,S-014,2026-08-25,"7,24",2,5
P-00113,S-014,2026-08-24,"67,78",1,5
P-00114,S-014,2026-08-17,"110,24",1,
P-00115,S-014,2026-08-12,"57,48",4,5
P-00116,S-014,2026-08-01,"173,29",2,10
P-00117,S-014,2026-08-24,"181,88",3,
P-00118,S-014,2026-08-30,"46,35",4,5
P-00119,S-014,2026-08-18,"195,26",4,15
P-00120,S-014,2026-08-25,"155,48",3,
P-00121,S-014,2026-08-18,"7,60",2,10
P-00122,S-014,2026-08-25,"177,03",1,0
P-00123,S-014,2026-08-18,"43,65",4,
P-00124,S-014,2026-08-28,"7,26",4,10
P-00125,S-014,2026-08-06,"184,71",2,5
P-00126,S-014,2026-08-08,"152,69",1,15
P-00127,S-014,2026-08-17,"122,27",1,
P-00128,S-014,2026-08-01,"97,46",4,10
P-00129,S-014,2026-08-29,"12,27",2,15
P-00130,S-014,2026-08-23,"131,41",2,5
P-00131,S-014,2026-08-03,"98,47",2,15
P-00132,S-014,2026-08-01,"84,93",3,10
P-00133,S-014,2026-08-30,"236,56",4,
P-00134,S-014,2026-08-22,"31,33",1,
P-00135,S-014,2026-08-26,"52,66",3,
P-00136,S-014,2026-08-03,"215,53",4,10
P-00137,S-014,2026-08-25,"15,04",3,15
P-00138,S-014,2026-08-11,"177,71",3,10
P-00139,S-014,2026-08-23,"22,66",4,
P-00140,S-014,2026-08-19,"212,86",4,15
P-00141,S-014,2026-08-12,"147,49",2,0
P-00142,S-014,2026-08-03,"164,93",3,15
P-00143,S-014,2026-08-20,"197,61",1,5
P-00144,S-014,2026-08-14,"21,91",2,
P-00145,S-014,2026-08-05,"186,06",1,
P-00146,S-014,2026-08-24,"221,67",1,15
P-00147,S-014,2026-08-31,"103,57",4,0
P-00148,S-014,2026-08-08,"91,83",4,10
P-00149,S-014,2026-08-16,"193,57",3,10
P-00150,S-014,2026-08-06,"123,71",3,5
P-00151,S-014,2026-08-30,"182,88",1,0
P-00152,S-014,2026-08-28,"190,16",4,15
P-00153,S-014,2026-08-27,"169,75",3,15
P-00154,S-014,2026-08-29,"193,97",1,
P-00155,S-014,2026-08-30,"181,47",2,5
P-00156,S-014,2026-08-15,"98,87",3,15
P-00157,S-014,2026-08-26,"51,81",4,15
P-00158,S-014,2026-08-22,"21,46",2,
P-00159,S-014,2026-08-16,"173,74",4,
P-00160,S-014,2026-08-04,"62,14",1,10
P-00161,S-014,2026-08-30,"49,66",1,15
P-00162,S-014,2026-08-11,"104,56",2,15
P-00163,S-014,2026-08-11,"46,32",3,
P-00164,S-014,2026-08-20,"31,39",4,
P-00165,S-014,2026-08-14,"97,39",2,10
P-00166,S-014,2026-08-09,"16,12",2,
P-00167,S-014,2026-08-15,"47,84",1,
P-00168,S-014,2026-08-24,"35,65",2,5
P-00169,S-014,2026-08-05,"165,75",1,15
P-00170,S-014,2026-08-27,"105,18",2,5
P-00171,S-014,2026-08-29,"92,03",3,5
P-00172,S-014,2026-08-20,"9,01",2,
P-00173,S-014,2026-08-12,"192,70",3,
P-00174,S-014,2026-08-01,"50,49",3,0
P-00175,S-014,2026-08-15,"237,75",4,0
P-00176,S-014,2026-08-13,"16,70",2,
P-00177,S-014,2026-08-07,"86,23",1,0
P-00178,S-014,2026-08-19,"207,27",2,10
P-00179,S-014,2026-08-23,"159,08",4,0
P-00180,S-014,2026-08-20,"182,58",3,
P-00181,S-014,2026-08-17,"114,29",4,10
P-00182,S-014,2026-08-18,"234,51",3,
P-00183,S-014,2026-08-17,"26,05",3,10
P-00184,S-014,2026-08-04,"175,53",3,
P-00185,S-014,2026-08-17,"176,52",2,0
P-00186,S-014,2026-08-16,"85,17",3,0
P-00187,S-014,2026-08-17,"21,56",3,5
P-00188,S-014,2026-08-31,"17,86",3,15
P-00189,S-014,2026-08-19,"64,25",1,
P-00190,S-014,2026-08-10,"43,30",4,0
P-00191,S-014,2026-08-10,"186,73",2,15
P-00192,S-014,2026-08-05,"121,03",2,15
P-00193,S-014,2026-08-01,"201,47",1,0
P-00194,S-014,2026-08-08,"184,44",4,
P-00195,S-014,2026-08-04,"190,61",1,10
P-00196,S-014,2026-08-11,"79,60",2,0
P-00197,S-014,2026-08-12,"156,00",1,15
P-00198,S-014,2026-08-11,"81,23",3,
P-00199,S-014,2026-08-12,"128,14",3,
P-00200,S-014,2026-08-12,"169,75",3,5
P-00201,S-014,2026-08-02,"152,99",3,
P-00202,S-014,2026-08-17,"9,34",4,0
P-00203,S-014,2026-08-22,"190,25",2,
P-00204,S-014,2026-08-07,"60,54",2,
P-00205,S-014,2026-08-19,"211,21",1,0
P-00206,S-014,2026-08-08,"184,11",4,
P-00207,S-014,2026-08-10,"159,83",4,15
P-00208,S-014,2026-08-30,"175,42",2,15
P-00209,S-014,2026-08-01,"38,84",2,5
P-00210,S-014,2026-08-24,"16,97",3,
P-00211,S-014,2026-08-18,"209,27",4,
P-00212,S-014,2026-08-22,"114,56",4,
P-00213,S-014,2026-08-18,"136,50",4,15
P-00214,S-014,2026-08-04,"38,23",2,5
P-00215,S-014,2026-08-18,"116,86",2,10
P-00216,S-014,2026-08-18,"238,45",4,
P-00217,S-014,2026-08-05,"235,05",2,
P-00218,S-014,2026-08-16,"180,62",3,10
P-00219,S-014,2026-08-06,"1 321,49",3,0
P-00220,S-014,2026-08-02,"112,59",1,15
P-00221,S-014,2026-08-02,"96,21",2,5
P-00222,S-014,2026-08-07,"152,22",3,15
P-00223,S-014,2026-08-09,"128,49",2,5
P-00224,S-014,2026-08-13,"75,36",3,
P-00225,S-014,2026-08-24,"115,30",1,15
P-00226,S-014,2026-08-08,"93,87",2,
P-00227,S-014,2026-08-14,"192,13",2,10
P-00228,S-014,2026-08-18,"91,14",4,
P-00229,S-014,2026-08-03,"38,92",1,0
P-00230,S-014,2026-08-27,"167,99",2,
P-00231,S-014,2026-08-19,"156,95",1,0
P-00232,S-014,2026-08-13,"223,68",1,
P-00233,S-014,2026-08-27,"126,96",1,15
P-00234,S-014,2026-08-24,"237,93",3,5
P-00235,S-014,2026-08-23,"191,29",2,0
P-00236,S-014,2026-08-22,"163,52",2,
P-00237,S-014,2026-08-24,"206,13",3,
P-00238,S-014,2026-08-31,"112,66",4,15
P-00239,S-014,2026-08-19,"77,08",2,
P-00240,S-014,2026-08-11,"53,49",2,
P-00241,S-014,2026-08-22,"157,52",4,10
P-00242,S-014,2026-08-12,"211,77",2,5
P-00243,S-014,2026-08-20,"211,71",4,15
P-00244,S-014,2026-08-12,"227,35",4,5
P-00245,S-014,2026-08-31,"27,15",2,
P-00246,S-014,2026-08-28,"167,69",1,
P-00247,S-014,2026-08-07,"77,18",1,15
P-00248,S-014,2026-08-31,"175,16",4,5
P-00249,S-014,2026-08-03,"103,08",2,0
P-00250,S-014,2026-08-23,"57,60",3,0
P-00251,S-014,2026-08-11,"215,93",2,15
P-00252,S-014,2026-08-04,"206,84",3,5
P-00253,S-014,2026-08-29,"233,58",4,
P-00254,S-014,2026-08-11,"221,57",3,
P-00255,S-014,2026-08-26,"202,48",2,15
P-00256,S-014,2026-08-18,"104,21",4,
P-00257,S-014,2026-08-19,"98,81",2,
P-00258,S-014,2026-08-15,"146,68",2,15
P-00259,S-014,2026-08-05,"174,67",4,
P-00260,S-014,2026-08-19,"4,54",3,
P-00261,S-014,2026-08-23,"192,79",1,0
P-00262,S-014,2026-08-17,"188,11",1,15
P-00263,S-014,2026-08-31,"59,02",1,15
P-00264,S-014,2026-08-13,"105,69",3,10
P-00265,S-014,2026-08-03,"125,63",1,
P-00266,S-014,2026-08-09,"33,25",4,
P-00267,S-014,2026-08-09,"175,23",2,
P-00268,S-014,2026-08-04,"42,43",2,5
P-00269,S-014,2026-08-28,"136,94",4,10
P-00270,S-014,2026-08-10,"119,80",2,
P-00271,S-014,2026-08-15,"206,10",4,
P-00272,S-014,2026-08-12,"1 613,17",3,
P-00273,S-014,2026-08-04,"127,11",3,0
P-00274,S-014,2026-08-18,"193,67",4,0
P-00275,S-014,2026-08-14,"1 197,00",4,15
P-00276,S-014,2026-08-28,"58,13",3,15
P-00277,S-014,2026-08-12,"90,11",1,15
P-00278,S-014,2026-08-04,"32,23",3,
P-00279,S-014,2026-08-06,"156,56",4,
P-00280,S-014,2026-08-08,"93,77",1,
P-00281,S-014,2026-08-01,"237,82",3,10
P-00282,S-014,2026-08-13,"165,94",1,
P-00283,S-014,2026-08-30,"220,93",3,15
P-00284,S-014,2026-08-02,"77,47",4,10
P-00285,S-014,2026-08-18,"10,73",3,
P-00286,S-014,2026-08-10,"169,86",4,
P-00287,S-014,2026-08-03,"82,94",4,
P-00288,S-014,2026-08-15,"199,51",1,0
P-00289,S-014,2026-08-27,"236,74",1,5
P-00290,S-014,2026-08-18,"74,20",1,
P-00291,S-014,2026-08-26,"143,61",3,
P-00292,S-014,2026-08-06,"102,42",3,10
P-00293,S-014,2026-08-02,"182,23",1,
P-00294,S-014,2026-08-26,"28,07",4,0
P-00295,S-014,2026-08-20,"218,25",2,10
P-00296,S-014,2026-08-22,"159,36",2,
P-00297,S-014,2026-08-09,"22,15",3,5
P-00298,S-014,2026-08-07,"1 070,51",1,10
P-00299,S-014,2026-08-05,"148,68",1,0
P-00300,S-014,2026-08-26,"200,72",4,15
P-00301,S-014,2026-08-30,"153,38",1,15
P-00302,S-014,2026-08-17,"128,56",4,5
P-00303,S-014,2026-08-12,"83,50",4,
P-00304,S-014,2026-08-16,"59,98",2,
P-00305,S-014,2026-08-29,"179,38",1,
P-00306,S-014,2026-08-27,"224,30",4,
P-00307,S-014,2026-08-26,"79,71",4,
P-00308,S-014,2026-08-31,"184,81",1,
P-00309,S-014,2026-08-12,"118,71",4,
P-00310,S-014,2026-08-17,"218,46",3,5
P-00311,S-014,2026-08-02,"18,59",3,
P-00312,S-014,2026-08-18,"186,90",2,0
P-00313,S-014,2026-08-13,"232,87",3,
P-00314,S-014,2026-08-28,"1 503,12",1,15
P-00315,S-014,2026-08-07,"68,82",4,
P-00316,S-014,2026-08-09,"205,47",1,15
P-00317,S-014,2026-08-02,"70,09",1,10
P-00318,S-014,2026-08-06,"12,59",1,0
P-00319,S-014,2026-08-18,"129,37",1,0
P-00320,S-014,2026-08-09,"119,13",3,0
P-00321,S-014,2026-08-04,"166,67",2,
P-00322,S-014,2026-08-08,"222,58",4,10
P-00323,S-014,2026-08-09,"174,83",4,
P-00324,S-014,2026-08-30,"41,31",2,
P-00325,S-014,2026-08-02,"70,91",3,0
P-00326,S-014,2026-08-31,"98,53",2,10
P-00327,S-014,2026-08-07,"48,50",3,5
P-00328,S-014,2026-08-09,"194,40",3,
P-00329,S-014,2026-08-17,"185,88",3,
P-00330,S-014,2026-08-20,"185,49",1,15
P-00331,S-014,2026-08-30,"115,50",1,
P-00332,S-014,2026-08-01,"231,10",4,
P-00333,S-014,2026-08-12,"125,06",3,
P-00334,S-014,2026-08-21,"100,82",4,
P-00335,S-014,2026-08-06,"47,62",4,
P-00336,S-014,2026-08-04,"132,27",3,10
P-00337,S-014,2026-08-20,"222,53",3,
P-00338,S-014,2026-08-15,"28,46",4,0
P-00339,S-014,2026-08-01,"41,69",2,
P-00340,S-014,2026-08-31,"26,35",3,15
P-00341,S-014,2026-08-18,"84,16",3,
P-00342,S-014,2026-08-23,"98,02",4,15
P-00343,S-014,2026-08-20,"157,20",2,
P-00344,S-014,2026-08-13,"218,59",4,
P-00345,S-014,2026-08-25,"179,48",4,15
P-00346,S-014,2026-08-16,"185,52",1,
P-00347,S-014,2026-08-26,"36,41",4,10
P-00348,S-014,2026-08-01,"112,40",4,15
P-00349,S-014,2026-08-20,"110,10",1,
P-00350,S-014,2026-08-22,"153,53",3,15
P-00351,S-014,2026-08-12,"93,13",2,
P-00352,S-014,2026-08-09,"165,42",1,
P-00353,S-014,2026-08-09,"190,45",2,0
P-00354,S-014,2026-08-24,"117,01",1,
P-00355,S-014,2026-08-02,"54,30",2,5
P-00356,S-014,2026-08-09,"90,73",3,
P-00357,S-014,2026-08-04,"186,66",4,0
P-00358,S-014,2026-08-22,"27,99",3,
P-00359,S-014,2026-08-12,"230,77",1,
P-00360,S-014,2026-08-22,"139,80",2,15
P-00361,S-014,2026-08-10,"168,36",1,5
P-00362,S-014,2026-08-11,"92,92",2,15
P-00363,S-014,2026-08-08,"94,03",1,0
P-00364,S-014,2026-08-05,"169,54",4,
P-00365,S-014,2026-08-22,"193,40",4,
P-00366,S-014,2026-08-13,"217,39",1,0
P-00367,S-014,2026-08-26,"77,54",1,10
P-00368,S-014,2026-08-10,"72,17",2,0
P-00369,S-014,2026-08-25,"60,59",1,5
P-00370,S-014,2026-08-27,"179,41",2,0
P-00371,S-014,2026-08-08,"43,81",1,15
P-00372,S-014,2026-08-16,"88,03",3,
P-00373,S-014,2026-08-02,"198,51",1,0
P-00374,S-014,2026-08-27,"63,47",2,0
P-00375,S-014,2026-08-18,"13,67",3,
P-00376,S-014,2026-08-04,"196,37",3,5
P-00377,S-014,2026-08-22,"126,97",1,
P-00378,S-014,2026-08-03,"42,85",1,0
P-00379,S-014,2026-08-03,"205,43",2,5
P-00380,S-014,2026-08-20,"157,88",4,0
P-00381,S-014,2026-08-06,"229,12",1,0
P-00382,S-014,2026-08-01,"70,82",1,
P-00383,S-014,2026-08-29,"124,52",3,10
P-00384,S-014,2026-08-24,"150,81",1,
P-00385,S-014,2026-08-21,"65,00",2,5
P-00386,S-014,2026-08-05,"147,08",4,15
P-00387,S-014,2026-08-13,"135,95",3,
P-00388,S-014,2026-08-14,"197,75",4,
P-00389,S-014,2026-08-24,"117,07",4,
P-00390,S-014,2026-08-10,"13,55",2,
P-00391,S-014,2026-08-03,"26,40",3,0
P-00392,S-014,2026-08-31,"169,56",4,
P-00393,S-014,2026-08-16,"228,43",1,
P-00394,S-014,2026-08-16,"76,22",1,
P-00395,S-014,2026-08-07,"143,24",2,
P-00396,S-014,2026-08-06,"168,60",1,
P-00397,S-014,2026-08-30,"78,95",3,
P-00398,S-014,2026-08-06,"200,07",2,5
P-00399,S-014,2026-08-05,"188,62",1,10
P-00400,S-014,2026-08-02,"58,48",3,0
P-00401,S-014,2026-08-30,"194,34",1,15
P-00402,S-014,2026-08-18,"181,10",4,5
P-00403,S-014,2026-08-31,"235,06",1,5
P-00404,S-014,2026-08-02,"139,36",3,5
P-00405,S-014,2026-08-22,"48,01",3,10
P-00406,S-014,2026-08-07,"164,81",1,0
P-00407,S-014,2026-08-29,"238,51",1,15
P-00408,S-014,2026-08-07,"116,44",1,10
P-00409,S-014,2026-08-11,"185,85",3,
P-00410,S-014,2026-08-17,"205,38",4,5
P-00411,S-014,2026-08-02,"117,30",2,
P-00412,S-014,2026-08-30,"204,67",4,0
P-00413,S-014,2026-08-04,"21,73",1,10
P-00414,S-014,2026-08-23,"222,60",2,
P-00415,S-014,2026-08-01,"53,42",4,
P-00416,S-014,2026-08-04,"93,55",2,
P-00417,S-014,2026-08-15,"179,03",2,15
P-00418,S-014,2026-08-22,"109,43",3,
P-00419,S-014,2026-08-15,"66,15",1,
